itemname,item_freq,wordroot,root_freq,focus,wordclass,variant,modified
tbleyaq,2,bleyaq,76,,動詞,,False
sderux,1,sderux,19,,動詞,,False
tmmering,7,mering,11,參考焦點,,,False
msao,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
reko,8,reko,8,,其它,,False
sapic,3,sapic,3,,名詞,,False
pngeela,1,geela,17,受事焦點,,,False
pskretun,1,keruc,38,,名詞,,False
n,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qnquun,1,qnuuqu,22,受事焦點,,,False
smkila,2,skila,2,主事焦點,,,False
pbuyuh,1,buyuh,11,零焦點標記,,,False
x,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tapun,1,atak,43,受事焦點,,,False
srgun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
jsankayl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qndisan,10,qnedis,22,處所焦點,,,False
harung,17,harung,17,,名詞,,False
tquti,1,quti,31,,動詞,,False
ssudu,4,sudu,81,名詞性標記,,,False
kmayak,3,kayak,5,主事焦點,,,False
dnurun,2,durun,18,受事焦點,,,False
mttahu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hwako,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tqrengun,4,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
henuk,3,henuk,23,,名詞,,False
lngui,2,lungu,22,受事焦點,,,False
smrutiq,1,rutiq,26,主事焦點,,,False
mqlmiqu,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mpgeeluk,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
yayung,73,yayung,75,,名詞,,False
psqrahuq,1,rahuq,22,零焦點標記,,,False
dilan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mhuqin,15,huqil,57,主事焦點,,mhuqin,True
jipingl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnki,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ppheun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mleho,1,kleho,4,主事焦點,,,False
sngesung,6,sngesung,6,,名詞,,False
sbleqi,2,bleyaq,76,,動詞,,False
ldaxun,1,ledax,24,受事焦點,,,False
smnetun,8,setur,33,處所焦點,,smnetun,True
kdkarun,1,kdakar,9,受事焦點,,,False
pgheguh,1,gheguh,3,主事焦點,,,False
uxe,375,uxe,375,,動詞,,False
pkbhege,1,bhege,66,零焦點標記,,,False
hdiqi,1,hediq,12,受事焦點,,,False
thuda,6,huda,24,零焦點標記,,,False
hquli,1,haqul,14,受事焦點,,,False
dqeras,58,dqeras,58,,名詞,,False
pnshuni,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
prmari,2,mmari,6,主事焦點,,,False
tbsengu,1,tbsengu,1,,動詞,,False
ptungan,10,utung,31,處所焦點,,,False
pdesan,3,adis,228,處所焦點,,,False
rbuxo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ssqsiya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnyasan,9,uyas,130,處所焦點,,,False
hgeluq,1,hgeluq,5,,動詞,,False
tmheri,2,theri,6,主事焦點,,,False
rmuyuk,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
plkusan,2,lukus,268,處所焦點,,,False
kako,1,Kako,1,,名詞,,False
cmcamc,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pstobuq,2,tobuq,2,主事焦點,,,False
dyangun,2,dayang,13,受事焦點,,,False
krmani,3,rima,33,受事焦點,,,True
abu,6,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snegun,4,snegul,18,,動詞,snegun,True
skadi,66,skadi 2,78,,動詞,,True
psmyahan,1,eyah,417,,名詞,,False
tamabubu,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
naali,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ngapih,1,ngapih,1,,名詞,,False
